ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
OCX_Justification,OCX_Descriptive Properties,null,Store,null
OCX_Justification,OCX_Custom Justification and Descriptive Properties New,null,Store,null
OCX_Justification,OCX_Custom Descriptive Properties  Existing,null,Store,null
OCX_Standard Rates,OCX_Capital Assumptions On Forms,null,Store,null
OCX_Equipment Standard Billing Rate,OCX_Standard Rates,null,Store,null
OCX_Depreciation,OCX_Finstatement Accounts for Lease Assets,null,Store,null
OCX_Depreciation,OCX_Finstatement Accounts for Assets,null,Store,null
OCX_Depreciation,OCX_Capital Ownership Costs,null,Store,null
OCX_Depreciation,OCX_Expenses - Capital,null,Store,null
"OCX_Intangible Assets Finite, Gross",OCX_Total Fixed Assets Gross,null,Store,null
"OCX_Intangible Assets Finite, Gross",OCX_Finstatement Accounts for Intangible Assets,null,Store,null
"OCX_Intangible Assets Finite, Gross","OCX_Intangible Assets Finite, Net",null,Store,null
OCX_Capital Reserve,OCX_Finstatement Accounts for Intangible Assets,null,Store,null
OCX_Capital Reserve,OCX_Liabilities,null,Store,null
OCX_Amortization,OCX_Capital Ownership Costs,null,Store,null
OCX_Amortization,OCX_Finstatement Accounts for Intangible Assets,null,Store,null
OCX_Amortization,OCX_Expenses - Capital,null,Store,null
